CustomerID,Age,Gender,Income,ProductQuality,ServiceQuality,PurchaseFrequency,FeedbackScore,LoyaltyLevel,SatisfactionScore,Country_fact,SatisfactionScore_log,Satisfaction_Level
1,56,1,83094,5,8,5,1,0,100.0,3,4.61512051684126,3
2,69,1,86860,10,2,8,2,1,100.0,3,4.61512051684126,3
3,46,0,60173,8,10,18,2,2,100.0,4,4.61512051684126,3
4,32,0,73884,7,10,16,1,1,100.0,3,4.61512051684126,3
5,60,1,97546,6,4,13,1,0,82.0,3,4.418840607796598,0
6,25,1,49364,5,7,19,0,2,80.71,1,4.403176393396616,0
7,38,0,39716,10,6,11,0,2,100.0,2,4.61512051684126,3
8,56,0,45305,10,10,10,2,1,100.0,2,4.61512051684126,3
9,36,1,98001,10,2,12,0,0,100.0,1,4.61512051684126,3
10,40,0,85307,6,4,20,0,1,86.48,3,4.471410195808567,0
11,28,0,46732,9,3,3,0,1,94.6,0,4.560172820057356,3
12,28,0,38742,8,6,13,2,2,81.85,1,4.417031743872572,0
13,41,1,30028,8,6,20,2,0,95.99,2,4.574607880405451,3
14,53,0,58353,6,8,17,2,0,100.0,4,4.61512051684126,3
15,57,0,75657,1,8,15,2,2,100.0,2,4.61512051684126,3
16,41,0,59164,1,5,10,2,2,52.34,0,3.9766865187538682,2
17,20,0,73887,5,4,7,2,2,73.48,2,4.310530632968812,0
18,39,0,63522,8,3,8,0,1,86.31,1,4.469465003822716,0
19,19,1,88593,5,9,8,0,0,100.0,4,4.61512051684126,3
20,41,0,37901,7,5,17,1,1,85.16,2,4.456206032848133,0
21,61,0,41595,2,4,11,0,1,69.85,1,4.260564966136689,2
22,47,0,95043,7,2,5,0,0,92.23,1,4.535069558308602,3
23,55,0,42216,5,6,2,2,1,90.59,1,4.5173220954148965,3
24,19,1,59536,10,5,7,0,2,99.65,4,4.611649152085801,3
25,38,1,48184,3,2,2,1,1,49.73,1,3.9265174515785985,1
26,50,1,116529,1,5,18,2,2,70.82,4,4.274162988797936,0
27,29,0,92619,9,8,15,1,1,100.0,0,4.61512051684126,3
28,39,0,102225,10,4,14,1,1,100.0,0,4.61512051684126,3
29,61,1,108541,7,1,1,2,2,75.74,0,4.340423084818807,0
30,42,1,48768,8,8,16,0,1,100.0,1,4.61512051684126,3
31,66,1,95975,10,7,7,2,0,100.0,4,4.61512051684126,3
32,44,1,41604,10,9,11,2,0,100.0,0,4.61512051684126,3
33,59,1,100739,4,8,18,2,0,100.0,3,4.61512051684126,3
34,45,1,119278,3,7,10,0,1,100.0,0,4.61512051684126,3
35,33,0,112220,5,7,17,1,2,100.0,1,4.61512051684126,3
36,32,0,113282,1,10,4,0,0,100.0,3,4.61512051684126,3
37,64,1,65286,6,1,7,1,2,88.16,2,4.490432508517668,0
38,68,0,40530,1,6,17,0,0,63.97,3,4.17392562489244,2
39,61,0,34580,8,9,9,0,0,100.0,2,4.61512051684126,3
40,69,1,75929,5,7,3,1,0,91.94,3,4.531954123656832,3
41,20,1,112595,10,5,13,2,1,100.0,4,4.61512051684126,3
42,54,0,37897,7,1,20,1,0,72.89,3,4.302577500800556,0
43,68,0,87990,4,10,20,0,0,100.0,0,4.61512051684126,3
44,24,0,91060,5,6,5,1,2,96.58,2,4.580672554387691,3
45,38,1,110598,2,4,2,2,2,63.49,2,4.166510173022286,2
46,26,0,40211,7,3,18,0,2,79.86,0,4.392719264212625,0
47,56,1,36990,9,5,7,2,2,98.21,4,4.597238815661811,3
48,35,1,55680,7,1,3,1,2,46.66,3,3.864092471670596,1
49,21,0,54175,4,7,5,1,0,86.36,4,4.470037511996595,0
50,42,1,111018,8,3,20,2,1,100.0,0,4.61512051684126,3
51,31,1,43211,6,6,11,0,0,81.61,3,4.414130738574414,0
52,67,1,114860,6,7,12,0,0,100.0,0,4.61512051684126,3
53,26,0,57358,3,4,19,0,2,63.75,2,4.1705337005796475,2
54,43,0,54191,2,7,18,1,1,94.73,2,4.561531728958262,3
55,19,0,99965,3,10,4,0,1,100.0,2,4.61512051684126,3
56,37,1,114041,7,8,11,0,2,100.0,1,4.61512051684126,3
57,45,0,70385,3,10,16,1,0,100.0,1,4.61512051684126,3
58,64,1,55312,7,9,7,1,0,99.01,2,4.605270180988425,3
59,24,0,99717,3,9,1,0,2,91.14,1,4.523309159507771,3
60,61,1,116849,4,7,16,2,2,100.0,1,4.61512051684126,3
61,25,0,39919,5,1,15,1,1,59.41,0,4.101154654150649,2
62,64,0,108598,2,5,3,2,1,90.05,3,4.511408806173617,3
63,52,1,81699,5,10,17,0,1,100.0,2,4.61512051684126,3
64,31,1,56536,10,1,1,0,1,67.19,1,4.222297926532561,2
65,34,0,70364,6,1,18,0,1,60.67,0,4.1217975890034015,2
